"PRODUCTS_MODEL" "count"
"TMD1430" 0
"TMD3928" 4
"TMS1139" 0
"TMS0506" 0
"TMS30" 16
"TMS39" 48
"TMD2828" 0
"TMD3030" 0
"TMK0307" 0
"TMP2303" 0
"TMP2437" 0
"TMM2303" 0
"TMM2115" 0
"TMM3537" 0
"TMM1415" 0
"TMC02" 0
"TMC22" 0
"TMC36" 0
"TMBB2224" 0
"TMBB3431" 0
"TMBB3915" 0
"TMBB3435" 1
"TMBB0630" 0
"TMBB3605" 0
"TMS2834" 1
"TMS1510" 0
"TMK0508" 0
"TMU1510" 0
"TMU0539" 0
"TMMMC1001" 0
"TMMC0907" 0
"TMMC1007" 0
"TMMC0701" 0
"TMU2834" 0
"TMD0639" 1
"TMBP3528" 0
"TMBP2303" 0
"TMBB0615" 0
"TMM3431" 0
"TMM3915" 0
"TMM243734" 0
"TMK0735" 0
"TMK3936" 0
"TMS3511" 0
"TMS1417" 0
"TMS3705" 1
"TMD3722" 1
"TMK1721" 0
"TMK0921" 2
"TMBB3714" 0
"TMBB3617" 0
"TMBB3705" 0
"TMBB1721" 0
"TMBB2840" 0
"TMBB0621" 0
"TMBB1437" 0
"TMBB3517" 0
"TMBB0635" 0
"TMFRIS17" 0
"TMFRIS36" 0
"TMMMC3614" 0
"TMP3635" 0
"TMP3934" 0
"TMS2435" 0
"TMS0537" 1
"TMS3910" 2
"TMS2206" 0
"TMS2802" 3
"TMS1806" 0
"TMS1106" 0
"TMS2128" 2
"TMS3724" 0
"TMS1039" 0
"TMD2435" 0
"TMD0537" 0
"TMD3910" 5
"TMD2802" 10
"TMD1806" 0
"TMD1106" 0
"TMD3724" 0
"TMD1039" 0
"TMD3611" 2
"TMD1503" 0
"TMBB0637" 0
"TMS1435" 0
"TMS1503" 0
"TMD1435" 0
"TMK0506" 0
"TMK1435" 0
"TMK2830" 0
"TMK2835" 0
"TMM372434" 0
"TMM3134" 0
"TMM3414" 0
"TMK2811" 0
"TMS0701" 0
"TMK0331" 0
"TMS1105" 1
"TMS3040" 0
"TMD1014" 11
"TMD0814" 0
"TMMI4040" 0
"TMD1502" 0
"TMD1514" 2
"TMD1428" 0
"TMD0209" 2
"TMD2810" 6
"TMD0317" 0
"TMS1514" 0
"TMS1428" 1
"TMS0209" 0
"TMS1415" 0
"TMS0317" 0
"TMC10" 0
"TMK3406" 0
"TMS3928" 1
"TMS1430" 0
"TMD2834" 1
"TMMI2828" 0
"TMMIcamo" 0
"TMMI0914" 0
"TMMI3415" 0
"TMFRIS30" 0
"TMFRIS14" 0
"TMS2822" 0
"TMP1830" 0
"TMM1830" 0
"TMBB1830" 0
"TMS10" 59
"TMS0330" 0
"TMS3714" 0
"TMK0603" 0
"TMD3540" 0
"TMU24CA" 0
"TMBP1430" 0
"TMBP0307" 1
"TMMMC06" 0
"TMMC0937" 0
"TMFRIS01" 0
"TMDS1001" 0
"TMK0737" 2
"TMtarpT" 0
"TMMMCmixed" 0
"TMD3409" 0
"TMD0239" 0
"TMBP0210" 0
"TMMI3735" 0
"TMD1010" 0
"TMBP2435" 0
"TMBP2439" 0
"TMBP3622" 0
"TMBP2424" 0
"TMBP3011" 0
"TMBP3907" 0
"TMBP3930" 0
"TMBP3135" 0
"TMC01" 0
"TMC35" 0
"TMC30" 0
"TMC34" 4
"TMC14" 0
"TMC39" 0
"TMC07" 0
"TMC03" 0
"TMC08" 0
"TMC24" 1
"TMO2422" 0
"TMO0837" 0
"TMO1439" 0
"TMO1503" 0
"TMO2130" 0
"TMO0605" 0
"TMO3611" 0
"TMO3734" 0
"TMO3935" 0
"TMO3503" 0
"TMK2422" 2
"TMK0837" 1
"TMK1439" 0
"TMK1503" 0
"TMK2130" 0
